Genre,Reports,Processed_Reports,Age,Year,Gender,Nationality,Gpa_Label,Char_Count,Word_Count,Average_Word_Length,Average_Sentence_Length,Sentiment_Score,Subjectivity_Score,Sentiment_Label,Cluster,Emotion_Scores,Emotion_Polarity,Emotion_Label,Gpa_Label_Num
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,limited access research database material causing lot frustration among student need better access able succeed academically,27,2,M,Egypt,C,124,16,6.8125,124.0,0.30952380952380953,0.4226190476190476,Neutral,2,"(0.30952380952380953, 0.4226190476190476)",0.30952380952380953,Positive,2
Academic Support and Resources,I'm having trouble finding the course materials I need for my classes. The library doesn't have them and the bookstore is always sold out.,trouble finding course material need class library bookstore always sold,23,2,F,Egypt,B,72,10,6.3,72.0,-0.2,0.2,Neutral,2,"(-0.2, 0.2)",-0.2,Negative,3
Academic Support and Resources,It's frustrating to have limited access to research databases and materials when I'm trying to write a paper or do a project. I feel like I'm at a disadvantage compared to students at other schools.,frustrating limited access research database material trying write paper project feel like disadvantage compared student school,20,2,F,Egypt,A,127,16,7.0,127.0,-0.2357142857142857,0.5214285714285715,Negative,2,"(-0.2357142857142857, 0.5214285714285715)",-0.2357142857142857,Negative,4
Academic Support and Resources,I'm really struggling in one of my classes but I can't get an appointment with my academic advisor for weeks. It's making me feel like no one cares about my success.,really struggling one class cant get appointment academic advisor week making feel like one care success,20,2,F,Egypt,C,104,16,5.5625,104.0,0.16666666666666666,0.06666666666666667,Neutral,2,"(0.16666666666666666, 0.06666666666666667)",0.16666666666666666,Positive,2
Academic Support and Resources, I am really struggling with understanding the instructions for this assignment. They are not clear and I don't know what is expected of me.,really struggling understanding instruction assignment clear know expected,26,2,F,Egypt,B,74,8,8.375,74.0,0.06666666666666668,0.3277777777777778,Neutral,0,"(0.06666666666666668, 0.3277777777777778)",0.06666666666666668,Positive,3
Academic Support and Resources, The grading system in this course is unfair and inconsistent. It seems like the professor is picking favorites and not giving everyone a fair shot.,grading system course unfair inconsistent seems like professor picking favorite giving everyone fair shot,22,2,F,Egypt,B,105,14,6.571428571428571,105.0,0.2333333333333333,0.9666666666666667,Positive,0,"(0.2333333333333333, 0.9666666666666667)",0.2333333333333333,Positive,3
Academic Support and Resources, I wish my professor would give us more feedback on our assignments. I don't know what I'm doing wrong and I can't improve without constructive criticism.,wish professor would give u feedback assignment know wrong cant improve without constructive criticism,24,2,F,Egypt,A,102,14,6.357142857142857,102.0,-0.5,0.9,Negative,0,"(-0.5, 0.9)",-0.5,Negative,4
Academic Support and Resources, The quality of teaching in this course is very poor. The professor doesn't seem to care about the material or the students and it shows in the lectures.,quality teaching course poor professor seem care material student show lecture,20,2,M,Egypt,D,78,11,6.181818181818182,78.0,-0.4,0.6,Negative,2,"(-0.4, 0.6)",-0.4,Negative,1
Academic Support and Resources, The course fees and textbook costs are way too high. I can barely afford to pay for everything and it's causing me a lot of stress.,course fee textbook cost way high barely afford pay everything causing lot stress,24,2,F,Egypt,B,81,13,5.3076923076923075,81.0,0.10500000000000001,0.31999999999999995,Neutral,2,"(0.10500000000000001, 0.31999999999999995)",0.10500000000000001,Positive,3
Academic Support and Resources,I am very concerned about academic dishonesty and plagiarism in this course. The professor doesn't seem to take it seriously and it's making me question the integrity of the entire class.,concerned academic dishonesty plagiarism course professor seem take seriously making question integrity entire class,25,2,F,Egypt,D,116,14,7.357142857142857,116.0,-0.1111111111111111,0.4305555555555555,Neutral,2,"(-0.1111111111111111, 0.4305555555555555)",-0.1111111111111111,Negative,1
